username, created_at, lng, lat, text
MathurineAgency, Thu Apr 23 18:10:47 +0000 2020, -83.173867, 32.678207, Woah 
vandonselaar10, Thu Apr 23 18:10:47 +0000 2020, -93.999285, 44.165140, Welp. My life is over. Just downloaded wish 🥴. I’m at an all time low. #quarantine 
DomtheProb, Thu Apr 23 18:10:48 +0000 2020, -95.446486, 29.838495, @thebdjulian sure massa, anything else? Need some clothes folded? 
Shackelford1055, Thu Apr 23 18:10:48 +0000 2020, -80.087032, 42.110703, Which is exactly why there are laws against drunk driving....Are you done embarrassing yourself? 
RagallerMark, Thu Apr 23 18:10:48 +0000 2020, -94.867871, 42.069564, @omaha_scanner https://t.co/ZOagMu8Mhq 
wendellima98, Thu Apr 23 18:10:48 +0000 2020, -84.133993, 34.008338, saudades de beijar né wendel 
JonnyBlonde, Thu Apr 23 18:10:48 +0000 2020, -79.820465, 43.381396, Great initiative to spread the love to frontline workers ❤️. If you’re looking for a way to give back check out… https://t.co/uXj14h3Cgd 
ChrystianTyler, Thu Apr 23 18:10:48 +0000 2020, -74.169800, 39.936100, First day of boating @ Pine Beach, New Jersey https://t.co/XTgsmlh7uW 
bakersfieIdca, Thu Apr 23 18:10:48 +0000 2020, -119.025163, 35.346902, @C_E_Heaux  Happy Birthday! Don't forget to do your taxes on your "onlyfans" or I'm coming after you. -Sincerely the city of Bakersfield. 
ServantJustice, Thu Apr 23 18:10:48 +0000 2020, -97.432425, 27.737151, my guy 🔒 https://t.co/7qCdPV3siU 
TheZodiacGuru1, Thu Apr 23 18:10:48 +0000 2020, -119.827182, 39.512436, @AOC @fatjoe You guys have got to ask yourself is it really a virus I think more measures need to be taken and unde… https://t.co/b6Lcjo3lmp 
CynthiaSofuye, Thu Apr 23 18:10:48 +0000 2020, -73.860857, 40.944568, @estarius https://t.co/MMi1GMcIZS 
iwilldevouryou, Thu Apr 23 18:10:48 +0000 2020, -82.442694, 27.996595, Chile....young Vince Vaughn was fine as hell 
SamanthaWillo13, Thu Apr 23 18:10:48 +0000 2020, -122.805579, 45.484892, @Steph1984x Exactly!!! 
tmj_wy_sales, Thu Apr 23 18:10:48 +0000 2020, -108.380104, 43.024959, If you're looking for work in #Riverton, WY, check out this #Sales job via the link in our bio: Wireless - Retail S… https://t.co/Dz84sLi66z 
MaeleighMoon, Thu Apr 23 18:10:48 +0000 2020, -75.165100, 39.952700, Anyone else find themselves day dreaming a lot more frequently lately? ...#selfisolation… https://t.co/77ZBxwzQgl 
kalli4na, Thu Apr 23 18:10:48 +0000 2020, -96.761753, 32.819858, wHeN r PeOpLe GoNnA LeArN tHaT bEiNg fAkE iSn’T cUtE oR NiCe 😭 
PLANET_CRUNCH, Thu Apr 23 18:10:48 +0000 2020, -96.761753, 32.819858, @BS_Gothventures He has a DAUGHTER?!? 
Adesuwa___, Thu Apr 23 18:10:48 +0000 2020, -97.011168, 32.655678, 1 &amp; 2 are out of the question. I’m too clumsy for that. So 3 
BendigBrian, Thu Apr 23 18:10:48 +0000 2020, -83.002085, 42.295065, @MMT_ChristinaF @CavalierTool @MMTMag Thanks Christina! 
Dagger_dance, Thu Apr 23 18:10:48 +0000 2020, -92.131274, 34.751936, The Blood is like EASILY in the top 4 for me but idk that's just me ig 
